ts,avgFees_sat,usd
1694118365,21283968,26074
1694282080,20423246,25854
1694456059,21901099,25604
1694629739,22182993,26127
1694801625,18121916,26358
1694972710,21118140,26531
1695147564,38853081,27151
1695319106,34918835,26610
1695492321,36171676,26584
1695664641,23961985,26285
1695837516,25784316,26265
1696010602,24049763,26874
1696184981,15946184,27118
1696355193,23078905,27386
1696528639,20535861,27492
1696702073,15735557,27884
1696874711,14591279,27387
1697045054,16993043,26786
1697219815,16545483,26762
1697391399,8706790,27205
1697565253,13177266,28426
1697737476,18368039,28693
1697911319,10731053,30014
1698082845,13581249,33058
1698257367,32587869,34529
1698431193,18587821,33674
1698601880,10117871,34422
1698774884,15060636,34463
1698950207,17733639,34704
1699119978,50812876,34725
1699295069,66737965,34991
1699463652,92847075,35414
1699639614,111469146,37086
1699811910,80714445,37068
1699985534,88219509,36526
1700156151,208586330,37141
1700330279,216740428,36586
1700502782,117485543,37147
1700673445,102833110,37593
1700849278,57120374,37818
1701021399,57404025,37662
1701191428,49247469,37211
1701367141,53294154,37719
1701540446,60147043,38753
1701713955,120736523,41639
1701886624,193881146,44068
1702058712,103780495,43733
1702231664,83944686,43751
1702403370,88578703,41086
1702574058,194753003,42947
1702750209,492302479,42346
1702923579,233790747,41411
1703095958,277999656,42891
1703269878,170207203,43714
1703441339,97609006,43705
1703615361,135297193,42658
1703787411,171410558,42562
1703961773,197075956,42302
1704132591,113390291,43716
1704304963,100256523,42242
1704476042,89530418,43559
1704647611,65421828,44104
1704824132,73150322,46237
1704993800,73357814,47068
1705170360,106532503,42873
1705343025,90652367,42682
1705514019,89469490,42647
1705686483,69990566,40349
1705856947,52847957,41657
1706032919,78879983,39136
1706207723,35512956,39969
1706378857,36172764,41790
1706551904,37807063,41994
1706723693,39330378,43352
1706897081,36093068,43122
1707069878,77051404,42922
1707241183,31092699,42904
1707414351,43740962,44696
1707586882,29423939,47369
1707759762,58794413,50045
1707931570,38472534,51769
1708105982,28309398,51850
1708280334,22513510,51588
1708454527,25174784,51317
1708625217,22611478,51655
1708799758,19472115,51102
1708970879,29143325,51244
1709145951,57828946,61076
1709314762,41742912,61262
1709488281,35263080,62798
1709660967,58809891,63313
1709834569,32034001,67086
1710005774,25814925,68303
1710178674,28978468,72500
1710353619,23562335,72728
1710525235,34783829,70226
1710699209,18292204,68194
1710871489,26941368,64708
1711044626,39747437,67251
1711216517,14383512,65108
1711393930,29816840,69863
1711565947,28576536,70174
1711736708,19376629,69199
1711910472,20119728,70873
1712081436,16945578,65975
1712255426,18685520,68426
1712426424,12117455,68289
1712598158,29279605,71685
1712770555,65544687,69302
1712946838,123051264,67091
1713117163,49957961,65345
1713292562,60078521,62729
1713462146,80684405,63532
1713638407,563870855,64722
1713810060,176639714,66162
1713982839,107974550,65208
1714153595,70321232,63645
1714327107,36684363,63582
1714499199,33490200,60143
1714675477,26508551,58747
1714842178,35568184,63625
1715018093,41155641,63550
1715192015,22194931,61233
1715365950,24769728,60917
1715537977,17193494,61218
1715708502,16270317,61575
1715882710,16119763,65839
1716057268,14457918,66922
1716228392,12101956,68220
1716400796,15293109,70222
1716572668,17154444,68361
1716748323,12321452,69105
1716917517,13740054,68114
1717091692,41601767,68674
1717265232,32731809,67649
1717439641,32485055,69062
1717609596,62551099,71150
1717781241,390261600,69245
1717957245,43606582,69448
1718128877,36778441,66759
1718301742,46559146,67720
1718474193,32094682,66277
1718644247,20849723,65166
1718820767,28181913,64946
1718991827,27136371,63598
1719169144,13482009,63794
1719336290,18325157,61409
1719510054,14308651,61452
1719685297,9911273,60950
1719855095,14080740,63185
1720028260,11387882,60254
1720202719,13762947,56510
1720374978,9690725,57468
1720544907,8876064,57856
1720720892,9024454,57404
1720893762,12217265,58630
1721065145,9327959,63077
1721239752,9565839,64719
1721414341,9321508,66780
1721584021,6471493,67205
1721758299,6403605,65947
1721932155,6662449,65661
1722102557,6929188,68625
1722276850,6253818,67488
1722448862,8611198,66055
1722618543,8554806,62557
1722796677,5333924,60875
1722968273,6362840,56208
1723138300,7460093,59550
1723310670,4928310,60569
1723483785,7408255,58213
1723655280,6334241,59442
1723832206,6648814,57865
1724007457,5640961,60023
1724174338,6293558,60922
1724351467,111962286,60336
1724520557,4985509,64119
1724696735,7984904,63645
1724865619,4844171,59971
1725041884,5900996,58759
1725213533,4609218,58136
1725387391,6970317,57845
1725557785,9761245,55976
1725731815,4420674,54632
1725903412,4986319,57471
1726074686,6887238,57361
1726250137,7454105,59697
1726422314,4405485,59892
1726596737,6724377,60337
1726768271,10342063,63651
1726942695,4598849,63160
1727113693,6809716,63617
1727288786,5136984,63328
1727460752,8863846,66030
1727632146,5200403,65701
1727806126,5800838,61771
1727979402,5493445,60154
1728150083,9631615,61855
1728321655,10592379,63119
1728495872,14575564,60990
1728671764,43249821,63001
1728843275,25013534,62647
1729013842,19776765,66010
1729186214,27503707,67092
1729361247,8951204,68105
1729533972,15675716,67500
1729704039,13976761,65631
1729878043,15434685,68027
1730053116,5012595,68044
1730225320,7123448,72501
1730399372,5640947,70383
1730570129,5288543,69497
1730744203,4768527,68370
1730914554,5026926,74029
1731087670,6112032,76700
1731259533,6702042,79777
1731432995,14010498,87140
1731605214,21636335,89202
1731781163,8535602,91345
1731954263,14259070,91226
1732125474,12864345,94836
1732297136,19495366,98714
1732473201,6642871,97031
1732642345,12809435,94076
1732818675,11309024,95135
1732987948,6293062,96916
1733160549,12678304,96441
1733335472,9112112,95915
1733510035,12835260,101600
1733682092,12646444,100088
1733855750,12559816,95873
1734026703,12097799,99768
1734198220,7880772,101283
1734371946,8174647,107099
1734543385,10877475,101012
1734717718,11300059,97092
1734891472,5167623,94692
1735064727,7784616,94464
1735235808,5810089,95591
1735409211,4095328,94991
1735581854,3740971,93738
1735756456,3165886,94440
1735929396,5039161,98256
1736099175,4227955,97770
1736273878,7330787,99971
1736447656,4976104,91879
1736618358,4455183,94552
1736794427,7727668,91714
1736965427,6800175,98899
1737138629,5487379,103381
1737308947,5200436,104804
1737481967,7205827,103704
1737655876,6678655,103176
1737829690,4130390,105063
1738001251,4711309,99141
1738173643,3242585,102380
1738342734,4745155,104751
1738516431,2675877,99310
1738688182,4379903,96523
1738866163,4256938,96902
1739034584,2916976,96119
1739211550,3966959,97578
1739383101,3707981,95695
1739556532,3438088,97161
1739730258,4028037,96860
1739902196,3252142,94166
1740077250,4480917,96921
1740245623,4666274,96825
1740419305,9480101,95836
1740593376,7575319,86730
1740764768,4823165,84336
1740938371,5073457,93534
1741111594,3622218,86838
1741285455,3203041,89024
1741455560,2642758,86343
1741629503,3586170,77630
1741801402,3761815,83046
1741975728,4340247,84353
1742146699,2901089,82799
1742321776,3330805,82424
1742492869,4853436,85478
1742667381,9518583,84167
1742842251,5083027,87880
1743016116,6319120,86946
1743185470,4546894,83827
1743361632,2232292,82268
1743527995,3431799,85250
1743704904,4197198,82686
1743874624,2422679,83054
1744050411,3816152,77418
1744220690,3780724,83030
1744394597,4050079,81858
1744566608,2004350,84049
1744737170,4101369,84003
1744913334,4113773,84930
1745084602,4642875,85134
1745256724,5325941,87031
1745430940,14025065,92957
1745604185,4883766,95372
1745780558,3836582,94105
1745949113,4406474,95434
1746123388,4820634,96418
1746295699,2230390,96284
1746468099,3352575,94264
1746641519,5030781,96865
1746814128,5138157,103179
1746986320,1978344,103988
1747159200,6225402,103202
1747331254,3806513,103816
1747504632,3791587,103030
1747678926,5845927,102988
1747851004,3934353,108980
1748020981,4252015,109676
1748191995,2790282,109192
1748367732,6286625,109413
1748542966,3453131,105963
1748713168,2464699,103534
1748886231,3637179,104442
1749061975,4315395,105073
1749232230,3737884,104488
1749403447,2619431,105880
1749580163,3072915,109311
1749749816,3932279,108297
1749925104,1754654,104931
1750095531,4904066,107843
1750267355,3535121,104824
1750440499,3832270,105997
1750615030,2546986,98924
1750789710,6065322,106258
1750959965,3873080,107341
1751131797,2818531,107389
1751305989,3918226,107622
1751478501,2972852,109711
1751651077,1895857,108286
1751824734,2504615,108119
1751999004,3543624,108953
1752169932,2944992,116440
1752345428,3255459,117468
1752517511,4426114,120080
1752684671,5050900,119366
1752862164,3400700,117939
1753036487,2575203,118141
1753204888,4486476,118718
1753377062,10724663,119123
1753552981,3177323,118087
1753723772,4423436,118850
1753896128,3607533,117202
1754072827,4529823,113809
1754246860,1824711,114326
1754414359,2763169,112935
1754589235,3381414,116535
1754765590,3584880,116970
1754936017,3440034,119503
1755109472,3917996,120929
1755281642,3623165,117322
1755452861,1766641,118484
1755626606,3150336,115552
1755799705,2214275,113259
1755972778,1723080,115278
1756145682,2320553,112204
1756317282,2865292,112140
1756490702,2419439,108444
1756662341,1866902,109110
1756834913,3818195,110944
1757006679,4190066,109799
1757183148,2267274,110056
1757352399,2747472,112078
1757529368,2839380,113860
1757696284,4687659,115868
1757870264,2362935,115444
1758046560,2657592,116813
1758216855,2274480,117339
1758389977,3511371,116044
1758564215,2186360,112830
1758738101,2161342,113805
1758910606,4704669,109194
1759080928,1447372,110244
1759254985,2006234,113960
1759427556,3863608,119710
1759604651,2683795,122239
1759772084,5550113,124587
1759944966,2955209,123080
1760118293,4641335,117296
1760293481,2276227,114155
1760465195,1852271,112659
1760638859,2640012,108249
1760810199,1437460,106888
1760985328,2314590,110406
1761155266,2376808,107686
1761330552,1710117,110641
1761500788,1455261,113555
1761675921,2037354,113683
1761847818,2018254,107457
1762021356,1839533,109888
1762193624,2565139,106840
1762366542,3043278,103915
1762537604,2650418,103820
1762710084,1762578,103594
1762884100,1816626,104606
1763057818,2510863,98542
1763228536,1890404,95985
1763403833,4485602,94669
