eta,E,P,naive,drift,champ,perfect,n_decisions_changed,champ_minus_naive,perfect_minus_naive
18,0.03,40000,520.5821880115458,520.5821880115458,520.5821880115458,520.5821880115458,0,0.0,0.0
18,0.03,60000,871.5932820173192,871.5932820173192,871.5932820173192,871.5932820173192,0,0.0,0.0
18,0.03,90000,1398.109923025979,1398.109923025979,1398.109923025979,1398.109923025979,0,0.0,0.0
18,0.045,40000,431.5264185776648,431.5264185776648,431.5850024875832,431.5850024875832,1,0.05858390991841134,0.05858390991841134
18,0.045,60000,780.8732820173187,780.8732820173187,780.8732820173187,780.8732820173187,0,0.0,0.0
18,0.045,90000,1307.3899230259785,1307.3899230259785,1307.3899230259785,1307.3899230259785,0,0.0,0.0
18,0.06,40000,356.88887653305335,356.88887653305335,356.88887653305335,356.95473662894824,0,0.0,0.06586009589489095
18,0.06,60000,690.1493462325643,690.1493462325643,690.3506195470524,690.384605660193,2,0.20127331448804853,0.23525942762864815
18,0.06,90000,1216.6699230259785,1216.6699230259785,1216.6699230259785,1216.6699230259785,0,0.0,0.0
18,0.08,40000,279.0818630628237,278.80525188438355,279.0818630628237,279.1274366405422,0,0.0,0.04557357771852821
18,0.08,60000,581.4371802404644,581.2100337781703,581.4395159297985,581.581367492502,1,0.00233568933413153,0.14418725203756821
18,0.08,90000,1095.709923025979,1095.709923025979,1095.709923025979,1095.709923025979,0,0.0,0.0
25,0.03,40000,450.48223642791896,450.595099674594,450.595099674594,450.595099674594,1,0.11286324667503322,0.11286324667503322
25,0.03,60000,801.0332820173194,801.0332820173194,801.0332820173194,801.0332820173194,0,0.0,0.0
25,0.03,90000,1327.5499230259786,1327.5499230259786,1327.5499230259786,1327.5499230259786,0,0.0,0.0
25,0.045,40000,345.8574889225262,345.8574889225262,345.8574889225262,345.8582917924715,0,0.0,0.0008028699452893306
25,0.045,60000,675.7233546418786,675.8926495118911,675.8926495118911,675.8926495118911,1,0.16929487001254984,0.16929487001254984
25,0.045,90000,1201.5499230259784,1201.5499230259784,1201.5499230259784,1201.5499230259784,0,0.0,0.0
25,0.06,40000,267.80021379825934,268.0307415044182,268.0307415044182,268.1396229409612,1,0.23052770615885265,0.33940914270186795
25,0.06,60000,565.6612955802206,565.6612955802206,565.5362523794972,565.7003142361427,2,-0.12504320072332575,0.03901865592217746
25,0.06,90000,1075.5499230259782,1075.5499230259782,1075.5499230259782,1075.5499230259782,0,0.0,0.0
25,0.08,40000,185.93909804204876,185.93909804204876,185.57211994841228,186.32672229732214,4,-0.36697809363647593,0.38762425527337996
25,0.08,60000,448.29267868397096,448.63170913863377,448.73690150596923,448.90769521105346,3,0.4442228219982667,0.6150165270825028
25,0.08,90000,916.7242322221636,916.7546741166752,917.0092220596223,917.3486219034653,2,0.2849898374587383,0.62438968130175
32,0.03,40000,387.62478682697605,387.47335585211334,387.6263439531988,387.72091166166774,1,0.0015571262227354055,0.0961248346916932
32,0.03,60000,730.4732820173193,730.4732820173193,730.4732820173193,730.4732820173193,0,0.0,0.0
32,0.03,90000,1256.9899230259791,1256.9899230259791,1256.9899230259791,1256.9899230259791,0,0.0,0.0
32,0.045,40000,279.0818630628237,278.80525188438355,279.0818630628237,279.1274366405422,0,0.0,0.04557357771852821
32,0.045,60000,581.4371802404644,581.2100337781703,581.4395159297985,581.581367492502,1,0.00233568933413153,0.14418725203756821
32,0.045,90000,1095.709923025979,1095.709923025979,1095.709923025979,1095.709923025979,0,0.0,0.0
32,0.06,40000,198.2923455136437,198.08521339844913,198.16056954716606,198.40369384809614,1,-0.13177596647764744,0.11134833445242975
32,0.06,60000,464.2506967204352,463.9964829797798,464.83465989309207,464.9527111138216,4,0.5839631726568655,0.7020143933863778
32,0.06,90000,940.3489146115696,940.3489146115696,940.3489146115696,940.8605797982631,0,0.0,0.511665186693449
32,0.08,40000,117.93053670503683,117.93053670503683,117.93053670503683,118.11747678770168,0,0.0,0.1869400826648473
32,0.08,60000,348.6716384049633,348.8702308692763,348.796017342872,348.8702308692763,2,0.12437893790871613,0.19859246431303745
32,0.08,90000,771.0894418188033,771.0894418188033,771.0894418188033,771.1798721293911,0,0.0,0.09043031058786255
